command,mean,stddev,median,user,system,min,max
exes/SRAD,1.3038800939000001,0.2087819564545557,1.3869087159000002,1.30067594,0.00288212,1.0791187659,1.5209958259
/home/mschnei2/pin//pin -- exes/SRAD,1.2983361941000002,0.0862527863911177,1.2602194749000002,1.2423453400000002,0.05818972,1.2553029029,1.4525320559000001
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/SRAD,2.6752287025,0.7430170912781288,2.1426595049,2.6064433399999998,0.07021572,2.1274903379000003,3.5251785429
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/SRAD,28.4745415885,0.49540389390067385,28.5421123569,28.339425740000003,0.10891552,27.8706968429,29.1171200049
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/SRAD,8.2153696105,2.240929882232021,7.1189792619,8.14765474,0.06981712,6.2418320738999995,10.8603612719
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/SRAD,2.9323235591,0.30971774955804493,2.9618192359,2.84684634,0.08704172000000002,2.5291298709000003,3.3451601909
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/SRAD,12296.4523717345,4014.076714075091,9752.9847997509,6715.15382714,2859.82337372,9232.5982434489,18322.4678467109
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/SRAD,5.5303319855,0.0020094617897348814,5.5303505588999995,5.46919574,0.06219692000000001,5.5280472869,5.5334281589
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/SRAD,2.2343274037,0.011092674980757593,2.2290846019,2.1788363399999993,0.05530372,2.2285520639,2.2540906869
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/SRAD,6.5091526020999995,0.008838563893834679,6.505121378899999,6.4408809399999996,0.07029632,6.5026753449,6.5236022099
