command,mean,stddev,median,user,system,min,max
exes/SRAD_ret0,0.0004308195800000002,0.00020548494047569523,0.0003461991800000002,0.00016770000000000006,0.000226536,0.00027129018000000024,0.0007870251800000003
/home/mschnei2/pin//pin -- exes/SRAD_ret0,0.18732735917999999,0.0002033048722768294,0.18727596718,0.1215795,0.06828342000000001,0.18708598418000003,0.18763800518
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/SRAD_ret0,0.7948821143799999,0.004565212927615631,0.79685151118,0.7163097,0.08089642,0.78991482618,0.79971437118
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/SRAD_ret0,0.35594346238,0.0028885587202082657,0.35670015418,0.2429539,0.11383921999999999,0.35196186918,0.35925868818
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/SRAD_ret0,0.29565494818,0.02844000778735591,0.29441049218000004,0.2207075,0.06913662,0.25678765518,0.33713120818000003
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/SRAD_ret0,0.18941674438000003,0.049093508936901176,0.16134957918,0.1284673,0.06273682,0.14202599018,0.24448321918000002
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/SRAD_ret0,0.54122469698,0.2097829186694683,0.49142141918000004,0.2637379,0.22093342,0.35521429318000003,0.89078892318
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/SRAD_ret0,0.25798516358,0.028616095101271652,0.26976649118,0.18289870000000003,0.07716282,0.20686669718,0.27336789318000004
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/SRAD_ret0,0.8265354329800001,0.137999911998001,0.88134154118,0.7510699,0.07761821999999999,0.58015224018,0.90082413418
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/SRAD_ret0,1.04311103138,0.16840343874405053,1.16388352518,0.9479712999999999,0.09770741999999999,0.84367951318,1.1682697361799999
