command,mean,stddev,median,user,system,min,max
exes/atax,0.0013635299,0.0002596712267612643,0.0013509427000000002,0.000366704,0.00092876,0.0011193217000000002,0.0017370907
/home/mschnei2/pin//pin -- exes/atax,0.1415340201,0.024370774105052,0.12842297570000002,0.08920788,0.05275436,0.12810802270000002,0.1844037447
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/atax,0.6306238663,0.12188114917076993,0.5847319537,0.56259068,0.06876495999999999,0.5490339397,0.8436084227
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/atax,0.32889065610000007,0.07330530017103472,0.2966384467,0.22507567999999994,0.10150656,0.27735400270000005,0.4559694127
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/atax,0.22454747290000002,0.03256989603580288,0.21280120370000002,0.16660687999999998,0.05909215999999999,0.2005772157,0.27933209470000003
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/atax,0.1785757821,0.011646309734031302,0.1766008937,0.11727307999999999,0.06272135999999999,0.1670900647,0.1925555317
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/atax,3.8863042137,0.2555524378587539,3.8009178167,2.71296408,1.11963916,3.6555986547,4.3040507617
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/atax,0.21135662030000005,0.026934796995040852,0.20470855170000002,0.14574048,0.06630316,0.18401647670000001,0.24762903270000003
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/atax,0.7019993766999999,0.1018941124349582,0.6570836727,0.63641528,0.06687716,0.6350785757,0.8815206117
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/atax,0.9443253431,0.17681768916276172,0.8695343257,0.85286688,0.09328976,0.8156240237,1.2398758047
