command,mean,stddev,median,user,system,min,max
exes/cholesky_ret0,0.00014212885999999997,0.00006273765524148954,0.00015032465999999993,0.00013411199999999992,0.00007844399999999998,0.00006741465999999998,0.00022647165999999997
/home/mschnei2/pin//pin -- exes/cholesky_ret0,0.17014759946,0.03756133489603223,0.17360312666,0.10990484,0.06190053999999999,0.10884992366,0.20204710666
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/cholesky_ret0,0.7088028932599999,0.08940891815306684,0.68495010266,0.64462424,0.06599234000000001,0.62343105966,0.83050196666
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/cholesky_ret0,0.28501591546,0.08368257266799858,0.23036173766,0.19803143999999998,0.08680254,0.22009787266,0.37780022366000005
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/cholesky_ret0,0.23366219786000003,0.07193730482214634,0.18761002966,0.17670744,0.059222739999999996,0.17776049266000002,0.31295738466000006
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/cholesky_ret0,0.21807115406000005,0.12072096923549863,0.16104799466,0.12034964,0.06358674,0.14771729166,0.43103994066000006
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/cholesky_ret0,0.46431000946,0.06592580108262067,0.44578806766000006,0.31677644,0.14547074,0.39757337566000006,0.55477374766
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/cholesky_ret0,0.18502556286000002,0.026417039919898976,0.17655193266000002,0.12429383999999999,0.062383339999999995,0.16841671166,0.23176032366000002
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/cholesky_ret0,0.73770641706,0.018778719594546568,0.73863704666,0.6804938400000001,0.05895714,0.71719530466,0.76648385166
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/cholesky_ret0,1.15516996766,0.2619910442474054,0.9793057216600001,1.06060464,0.09651754,0.94812276466,1.44282593666
