command,mean,stddev,median,user,system,min,max
exes/crc_ret0,0.0003365816200000001,0.00007377365948155206,0.0003510572200000001,0.00015058,0.00020960799999999996,0.0002099042200000001,0.00039117822000000004
/home/mschnei2/pin//pin -- exes/crc_ret0,0.18018924742000003,0.04209905231393429,0.19934185422,0.11555678,0.06540566,0.10494085522000002,0.20036997522
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/crc_ret0,0.6160550906200001,0.1132046363726863,0.60081939322,0.55716098,0.060459059999999995,0.51079356022,0.78218475322
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/crc_ret0,0.35271889962,0.013802419377036555,0.35778637622000004,0.24101577999999999,0.11263585999999999,0.32843979722,0.36285672822000004
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/crc_ret0,0.26530018302,0.05665370676868972,0.29779842622,0.20232938000000003,0.06553126000000001,0.16728165422,0.29838081922000004
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/crc_ret0,0.21982862681999998,0.04706587780662532,0.24699954422,0.14891258000000002,0.07304326,0.13912776022,0.24827407622
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/crc_ret0,0.51913309682,0.18950022262395563,0.39867032122,0.3198867799999999,0.18225645999999998,0.36740771222,0.78496917322
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/crc_ret0,0.27385910462,0.001437385624883695,0.27386868122,0.19220078000000002,0.08371825999999999,0.27224613222,0.27583928022
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/crc_ret0,0.7508724412200001,0.09475614550460981,0.7404792222200001,0.68010318,0.07313386,0.63559623822,0.89501553022
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/crc_ret0,0.8328774680200001,0.16173945669207007,0.75328775022,0.76007958,0.07449206,0.75242608322,1.1211481082199999
