command,mean,stddev,median,user,system,min,max
exes/durbin_ret0,0.0003581739999999999,0.00003840409403566241,0.0003442977999999999,0.00017897999999999997,0.00022309599999999997,0.00031664679999999986,0.0004014967999999999
/home/mschnei2/pin//pin -- exes/durbin_ret0,0.18344819140000002,0.010320727503242654,0.1872292388,0.11597357999999999,0.06997682,0.1651487518,0.1902415438
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/durbin_ret0,0.6635718706000001,0.140302217524085,0.6729862588000001,0.59526538,0.07051321999999999,0.5177945328000001,0.8067849268000001
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/durbin_ret0,0.24520955679999998,0.06362561347829455,0.2229141188,0.16196278,0.08382601999999999,0.2095684328,0.3583922518
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/durbin_ret0,0.2810154208,0.032061014640581906,0.2951944548,0.21520298,0.06856322,0.2236934908,0.2968709278
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/durbin_ret0,0.2436153838,0.0014940586564542876,0.2430630048,0.17258217999999997,0.07335482,0.2417667068,0.2453918468
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/durbin_ret0,0.5231575774,0.14781214137935558,0.6053899328000001,0.31332718000000004,0.19483141999999998,0.35110828780000003,0.6695800278
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/durbin_ret0,0.2721159274,0.0020247797616279764,0.2728936078,0.18655038000000002,0.08754001999999998,0.26981712480000003,0.2739120618
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/durbin_ret0,0.8884126762000001,0.004180913582336574,0.8894229368000001,0.8025809799999999,0.08825582,0.8839124438000001,0.8940692298000001
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/durbin_ret0,0.9643698192000001,0.14607862818631634,0.9658637258000001,0.8792751800000002,0.08733641999999998,0.8256115588000001,1.1793498538
