command,mean,stddev,median,user,system,min,max
exes/fdtd2d_ret0,0.00033894722000000013,0.000023739133741566888,0.0003376448200000001,0.0003155999999999999,0.00010997599999999999,0.00031150282000000015,0.0003654588200000001
/home/mschnei2/pin//pin -- exes/fdtd2d_ret0,0.13903024242,0.03595068191949025,0.12625129882,0.08326739999999999,0.05784813999999999,0.10696870982000001,0.18683877082
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/fdtd2d_ret0,0.55508807062,0.014825987404929873,0.56078136782,0.5004408,0.05693313999999999,0.53686520482,0.57280278482
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/fdtd2d_ret0,0.25499518122,0.06353346580792579,0.21514425582000002,0.17089400000000002,0.08529714,0.21204802382000001,0.35643618482
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/fdtd2d_ret0,0.18145406882,0.019508839961699075,0.16949191482,0.13668360000000002,0.04791294,0.16781111082,0.21212954582000002
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/fdtd2d_ret0,0.14516197222,0.005500478016664893,0.14521423782,0.0971486,0.05005733999999999,0.13963400882000002,0.15146932882
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/fdtd2d_ret0,0.48034626861999996,0.0849469749447157,0.42909004782000004,0.2944644,0.14619454,0.41634933882,0.60771404582
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/fdtd2d_ret0,0.24814159642,0.053367837204397445,0.27253020682,0.17882820000000002,0.07117194,0.15277235982,0.27454335982
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/fdtd2d_ret0,0.7687257254200001,0.1656161753495336,0.8868896498200001,0.7039126,0.06726734000000001,0.5859327238200001,0.89276667182
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/fdtd2d_ret0,1.0037560836200001,0.1964551416069625,1.08986818882,0.9183631999999999,0.08773013999999998,0.7657381068200001,1.1741041618199999
