command,mean,stddev,median,user,system,min,max
exes/fib_ret0,0.00036309992000000004,0.000016992842296096307,0.00035814532000000006,0.00034154,0.00010752000000000001,0.0003439063200000001,0.00039012232000000004
/home/mschnei2/pin//pin -- exes/fib_ret0,0.13792993432,0.0449284331612379,0.10807630532000001,0.08625134,0.0539307,0.10083893432,0.18862778032
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/fib_ret0,0.64832755912,0.09065508333076397,0.6068601693200001,0.5936117399999999,0.057083699999999994,0.56915720132,0.7506994963200001
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/fib_ret0,0.30088959912,0.07761376922782244,0.35449504132000004,0.20843534,0.09274869999999999,0.20894489732,0.35979680132
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/fib_ret0,0.28193878312000004,0.026290891370946937,0.29238857232000004,0.21560834000000004,0.0690961,0.23500733932,0.29615751832000003
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/fib_ret0,0.24264863552,0.003751092848534636,0.24344048632,0.16932474,0.07544009999999998,0.23661226932,0.24668691132
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/fib_ret0,0.5026698835200001,0.10833409620211396,0.49189640832000003,0.31060294,0.18260010000000002,0.36912708432,0.6692112103200001
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/fib_ret0,0.18236648352,0.05033167848370347,0.16248571532,0.12307814000000002,0.0618045,0.15192859132,0.27195602732
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/fib_ret0,0.64006205812,0.06258117581606673,0.61253918332,0.5819667399999999,0.060372300000000004,0.60951383232,0.75195908832
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/fib_ret0,0.9066670703199999,0.18423044605443692,0.81035460132,0.84088154,0.0681991,0.8099345693200001,1.23293038532
