command,mean,stddev,median,user,system,min,max
exes/floydwarshall_ret0,0.00032614562000000014,0.00003228302337452302,0.0003423818200000001,0.00020483199999999998,0.000171152,0.00028944882000000007,0.00035793582000000007
/home/mschnei2/pin//pin -- exes/floydwarshall_ret0,0.16504780382,0.03570578781943784,0.18687666782000004,0.10026514,0.06718352,0.10590070682000001,0.18814441482000002
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/floydwarshall_ret0,0.7797213458200001,0.04590722031594956,0.7976588268200001,0.7003161399999999,0.08174491999999998,0.69823415982,0.8056481748200001
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/floydwarshall_ret0,0.39604995742000004,0.049225297019103276,0.40705510582,0.19441073999999997,0.08746531999999999,0.33435822782,0.45520293882
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/floydwarshall_ret0,0.29262700642,0.07549387623617958,0.29818209782,0.20939473999999997,0.06346012,0.17498968282000002,0.38568819382
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/floydwarshall_ret0,0.19012731322,0.053424880731536104,0.17888326982000002,0.12882793999999997,0.06354931999999999,0.13946965782,0.24643698482000004
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/floydwarshall_ret0,0.55984900542,0.2813914741407111,0.42700360282,0.23484093999999994,0.26197472,0.39516359282,1.05822700782
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/floydwarshall_ret0,0.22887582182,0.04936273263021737,0.24392883782000002,0.15394833999999996,0.07712411999999999,0.15455441182000001,0.27235834082
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/floydwarshall_ret0,0.6720946022200002,0.07681856645795859,0.6663046438200001,0.6104219399999999,0.06353932,0.5952950818200001,0.7528044358200001
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/floydwarshall_ret0,1.09512984782,0.11079588364950715,1.17131831782,0.9433015399999999,0.09343351999999999,0.9616833268200001,1.18245263082
