command,mean,stddev,median,user,system,min,max
exes/funkykart_ret0,0.0005193439999999999,0.00034494621649932617,0.0003669622,0.00035408,0.000153336,0.0003475502,0.0011360402
/home/mschnei2/pin//pin -- exes/funkykart_ret0,0.146721106,0.04736971465074596,0.1131711442,0.09316967999999999,0.05574234,0.1101602972,0.1997611772
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/funkykart_ret0,0.8016797432,0.007710984994917983,0.8005674132,0.74149908,0.06135274,0.7938943392,0.8145181302
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/funkykart_ret0,0.22860045860000003,0.005988810968591286,0.2268707762,0.15193967999999997,0.07736794,0.2240613422,0.2391142052
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/funkykart_ret0,0.28208552140000004,0.05591157523240503,0.30669048820000006,0.21451848,0.07014153999999999,0.1821502452,0.31049074320000003
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/funkykart_ret0,0.26858085040000007,0.022312627731104966,0.2594143782,0.18621428,0.07397854,0.25674249820000006,0.30841176620000005
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/funkykart_ret0,1.0484026160000002,0.39335919105814776,1.1848131762,0.37519927999999997,0.29922814,0.45341536520000003,1.4852450642000001
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/funkykart_ret0,0.24406352300000003,0.06168240227282241,0.28691862020000003,0.16260167999999997,0.08293334,0.1678363512,0.29035818420000004
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/funkykart_ret0,1.2181732798,0.18965696483399305,1.3313138212,1.1342914800000001,0.08551734,0.9095629402000001,1.3493142172
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/funkykart_ret0,1.3597963974000002,0.1498390432022731,1.3379533002000001,1.2408074799999997,0.09856334,1.2033212532000002,1.5731610502000002
