command,mean,stddev,median,user,system,min,max
exes/gemm,0.00884549916,0.0015653406955156764,0.00985472616,0.008164999999999999,0.0006368879999999998,0.00666312916,0.01004089816
/home/mschnei2/pin//pin -- exes/gemm,0.12976844516000002,0.0018876959430669674,0.12892788216,0.0816656,0.04949335999999999,0.12861729916,0.13309195016
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/gemm,0.57718383416,0.052956944554889945,0.5576735391600001,0.5170158,0.06138216,0.54912724816,0.67159327016
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/gemm,0.7057139171600001,0.112965823839292,0.69376771916,0.5988662,0.10653355999999999,0.5453797731600001,0.8154021531600001
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/gemm,0.44055882796,0.18238906635200472,0.5655802051600001,0.3742405999999999,0.06854816,0.24027868416,0.57941774816
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/gemm,0.20228039516000001,0.055833402174038683,0.17354544216,0.14122839999999998,0.06308876,0.16629958916,0.29922679416000003
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/gemm,86.75101711916,5.837995530161318,85.63344969916,60.091410999999994,24.935823159999998,81.81648059316,96.55971432215999
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/gemm,0.24703435196,0.05826855881387901,0.21762257516,0.18048839999999997,0.06812156,0.21254964816,0.34926279916
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/gemm,0.88664203756,0.11018680958456267,0.94504942816,0.8028169999999999,0.08566855999999999,0.6938183171600001,0.95077783916
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/gemm,0.86858029576,0.06193546687015962,0.84682475116,0.7973484,0.07353075999999999,0.8331998191600001,0.97852799416
