command,mean,stddev,median,user,system,min,max
exes/gesummv_ret0,0.00042913336000000013,0.00016076122730092603,0.00038915976000000014,0.00023601999999999998,0.00018282800000000003,0.00029776276000000013,0.0006979157600000002
/home/mschnei2/pin//pin -- exes/gesummv_ret0,0.18820740796,0.0014997152530866317,0.18852081276000002,0.11870661999999998,0.07189438,0.18606462076,0.19009710776
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/gesummv_ret0,0.62990538916,0.1488074729432413,0.5234884017600001,0.56553662,0.06432298,0.5201359787600001,0.8013562567600001
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/gesummv_ret0,0.39676136756,0.05166810701625131,0.36018731176,0.24585542,0.10783278,0.35884971376,0.46485013376
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/gesummv_ret0,0.30932110396000007,0.023944071016936942,0.29477886576,0.20651902,0.06462838,0.29065178276000003,0.34625883076
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/gesummv_ret0,0.23453811456,0.020793279998873208,0.24295813776,0.16359342000000002,0.07299597999999999,0.19745654076000002,0.24579502176
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/gesummv_ret0,0.5943283113600001,0.18146705511704314,0.6622743117600001,0.32449982,0.23042517999999998,0.35923778176000004,0.7911260397600001
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/gesummv_ret0,0.27196813036,0.0017467735060119483,0.27125801076,0.18853601999999997,0.08565458,0.27039441976,0.27410200176
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/gesummv_ret0,0.8435040991600001,0.06600078213007152,0.8822409697600001,0.75422002,0.09159557999999998,0.76894770176,0.8972713187600001
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/gesummv_ret0,0.9567178417600001,0.17062360110142222,1.01131781576,0.82887402,0.08491858,0.7751749987600001,1.1565750167600002
