command,mean,stddev,median,user,system,min,max
exes/gramschmidt_ret0,0.00047139574000000013,0.00015557023689060832,0.0004125339400000001,0.00027372,0.00019238000000000002,0.0003512909400000001,0.00074322394
/home/mschnei2/pin//pin -- exes/gramschmidt_ret0,0.11815220994,0.009069039888966858,0.11426306794,0.07562172,0.044943699999999996,0.11199656794000001,0.13380371994
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/gramschmidt_ret0,0.8580995407400002,0.1557119989326909,0.8139332329400001,0.75189432,0.0756287,0.66846286594,1.05305399094
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/gramschmidt_ret0,0.37693201374000007,0.0037482699853884117,0.37706424794000004,0.26112072,0.11677289999999999,0.37158917694000004,0.38049351794
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/gramschmidt_ret0,0.30831835514000006,0.001770150293782771,0.30906946994,0.23834711999999997,0.07243169999999999,0.30542477394,0.30987482594000004
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/gramschmidt_ret0,0.2568057791400001,0.0024533102962629337,0.25607158094000004,0.17537632,0.08360569999999998,0.25367260394,0.25932622194000005
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/gramschmidt_ret0,0.95470931934,0.38968382541861785,0.7339013199400001,0.33273571999999996,0.34656149999999997,0.5958824449400001,1.5085554269399999
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/gramschmidt_ret0,0.26723206033999997,0.040301540867751375,0.28462833894,0.18516532,0.08404509999999998,0.19518753394000002,0.28776426994000004
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/gramschmidt_ret0,0.90482304254,0.16842656527370176,0.8929942299400001,0.8238809199999999,0.08308389999999997,0.71560377594,1.08186347994
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/gramschmidt_ret0,1.23746299294,0.21618830199046235,1.27641627594,1.1077807199999998,0.10700749999999999,0.93682575694,1.4435955119400001
