command,mean,stddev,median,user,system,min,max
exes/hmm,1.0603349072000001,0.01811411158025374,1.0545874864,1.0562411600000001,0.0033713399999999996,1.0450032494000001,1.0905476164
/home/mschnei2/pin//pin -- exes/hmm,1.2473560340000003,0.11271995368585283,1.2961391484,1.16798456,0.08083833999999998,1.0466319994000002,1.3078271124
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/hmm,2.1380872796,0.053091788272365145,2.1198740694000002,2.0720071599999996,0.06743454,2.0928199844,2.2166957094
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/hmm,14.8533100524,0.4669037575745328,14.7324909784,14.700661359999998,0.10896754,14.4745030714,15.656686754399999
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/hmm,4.3941852498,1.800335576656286,3.2613136924,4.27247816,0.09141534,3.2501266444,7.3752323304
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/hmm,2.1577309552000004,0.19471655028182783,2.2237822804,2.0720799599999995,0.08729854000000001,1.8118073134000001,2.2709610894
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/hmm,9253.1032673784,2000.3252623849646,9444.300613497398,3984.37982776,1690.1050747399997,6268.9957842964,11722.939024604399
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/hmm,2.6597715034000005,0.023594228300299183,2.6511778004,2.58554916,0.06656874,2.6343315574000004,2.6954302004
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/hmm,2.2222552936,0.01020163931672631,2.2248120794,2.1598181599999995,0.06272634,2.2068020224000002,2.2325580084000003
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/hmm,3.5879333414000003,0.06782207876356929,3.5716860134,3.48657536,0.06960214,3.5395393634000003,3.7051366774
