command,mean,stddev,median,user,system,min,max
exes/hmm_ret0,0.0003709110599999999,0.00009168066764700179,0.0003468052599999999,0.00017389999999999994,0.00020080800000000002,0.00030564525999999983,0.0005291222599999999
/home/mschnei2/pin//pin -- exes/hmm_ret0,0.12806067706000002,0.03210138748010728,0.12260280026,0.08493329999999999,0.045257359999999996,0.10315855526,0.18336624926000003
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/hmm_ret0,0.7532266468600001,0.08323492214967484,0.79842067326,0.6660387,0.08027536000000002,0.61862824326,0.81656628626
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/hmm_ret0,0.36685907326,0.09236692016341344,0.35684826026,0.2273777,0.10141175999999999,0.22421413826000003,0.45213814926
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/hmm_ret0,0.24918455866000003,0.06274798051625083,0.29400513026,0.18622329999999998,0.06353596,0.17799213826000002,0.29609264426
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/hmm_ret0,0.21331579086000002,0.045998250829496226,0.24330096526000003,0.15012869999999995,0.06567796000000001,0.14618026426000003,0.24706282626000003
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/hmm_ret0,0.8133294258600001,0.3556155822874041,0.89440260626,0.3227483,0.25684915999999997,0.42948909026,1.1771368752600002
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/hmm_ret0,0.24945414406,0.05319041936835153,0.27272645626,0.16911849999999998,0.08270476,0.15432276026000002,0.27501502626
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/hmm_ret0,0.8874897838600001,0.006632267829265036,0.88482729926,0.8022211,0.08749096,0.8837847492600001,0.8993271272600001
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/hmm_ret0,0.9632380920599999,0.2069157606219144,0.9246238212600001,0.8508315,0.08515476,0.75173118526,1.18637184226
