command,mean,stddev,median,user,system,min,max
exes/jacobi2d_ret0,0.00043687666000000007,0.00027043529002517404,0.00032991766000000007,0.00021007199999999995,0.000177996,0.00027745166000000014,0.0009181606600000001
/home/mschnei2/pin//pin -- exes/jacobi2d_ret0,0.14986790586,0.04092014265466679,0.15912448966,0.09736603999999999,0.05476546,0.10084015066,0.18844037266
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/jacobi2d_ret0,0.68309866926,0.12941809917473568,0.70721336366,0.6132606399999999,0.07204885999999999,0.54660564966,0.8099312816600001
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/jacobi2d_ret0,0.21361999626,0.009008788622546946,0.20976049166,0.13799544,0.07652405999999999,0.20622509766,0.22905106466
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/jacobi2d_ret0,0.24007195226000003,0.065135769475085,0.26345248566,0.15754923999999998,0.06001166,0.16941278366,0.30109449566
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/jacobi2d_ret0,0.25971465666000004,0.03933752291845968,0.25660681766,0.15741264000000002,0.07280406,0.20345859266,0.30589264666
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/jacobi2d_ret0,0.7764624132600002,0.3451193182784893,0.7391710436600001,0.28325884,0.25088506,0.36964496966,1.2656682336600003
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/jacobi2d_ret0,0.19219101526,0.05019061999804299,0.17186838066,0.13036124,0.06382106,0.15143137966,0.27225055966
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/jacobi2d_ret0,0.58437156306,0.009369152595745923,0.58133476466,0.5242060399999999,0.058342059999999994,0.57580552766,0.6003636436600001
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/jacobi2d_ret0,0.7872689956600001,0.05694858250674133,0.75879539466,0.71798504,0.07185906,0.75527522266,0.8876349236600001
