command,mean,stddev,median,user,system,min,max
exes/lavamd_ret0,0.00042950810000000025,0.000142450843947307,0.0003700105000000002,0.00044340000000000004,0.00003933599999999999,0.00034029450000000027,0.0006802545000000003
/home/mschnei2/pin//pin -- exes/lavamd_ret0,0.12355986610000003,0.034799894755895386,0.10924040650000001,0.07749,0.048265079999999995,0.10609259250000001,0.18576437450000002
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/lavamd_ret0,0.7288717861,0.11575437080345229,0.7981118755000001,0.6562894,0.07466088,0.5382754665,0.8054114695
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/lavamd_ret0,0.3497557441,0.016463369942423013,0.3575775295,0.2366686,0.11408707999999998,0.3204165895,0.3584896775
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/lavamd_ret0,0.3059313493,0.08238849633309005,0.2933782235,0.2108292,0.05967068,0.20212376250000003,0.39070649749999997
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/lavamd_ret0,0.16806327329999998,0.04311944680320803,0.1500486695,0.1106592,0.057987279999999995,0.1447132325,0.24504759550000002
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/lavamd_ret0,0.6160625867,0.287195610306613,0.4942870875,0.282674,0.28027608,0.4511516775,1.1269049825
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/lavamd_ret0,0.21877347230000002,0.044897119975326125,0.2023373175,0.1443246,0.07657848,0.17334186650000002,0.2718595405
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/lavamd_ret0,0.7863514703000001,0.11004307110225249,0.7955802685000001,0.7131844,0.07594268,0.6324979685000001,0.8936157075000001
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/lavamd_ret0,1.0189663814999999,0.17012416299979197,1.0693683784999999,0.9228127999999998,0.09883988,0.8190660075,1.1740593305
