command,mean,stddev,median,user,system,min,max
exes/ludcmp_ret0,0.0004017993199999999,0.00010281623552970606,0.00035882532,0.00022617999999999995,0.000188484,0.00032667632,0.0005814993199999999
/home/mschnei2/pin//pin -- exes/ludcmp_ret0,0.10000355751999998,0.0020863143149431507,0.10052840332,0.05955758,0.042394140000000004,0.09656292032,0.10168515032
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/ludcmp_ret0,0.50324205232,0.0019726080663315824,0.50316693632,0.45685458,0.04820634,0.50134250532,0.50592232632
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/ludcmp_ret0,0.19966971952000004,0.003882248561190818,0.20014625932000002,0.13438177999999998,0.06632574,0.19556653232,0.20378930932
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/ludcmp_ret0,0.15927542292000002,0.002998066993245861,0.15811192332000001,0.12294958,0.038665939999999996,0.15641207332,0.16401207732
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/ludcmp_ret0,0.12968377552,0.002126502968799765,0.13022020532,0.08842857999999999,0.04352414,0.12640815132,0.13183108832
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/ludcmp_ret0,1.36020696012,0.7690986806256678,1.1278995893200001,0.30700298,0.5483107399999999,0.58839559632,2.47493401932
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/ludcmp_ret0,0.27213681832,0.0026438311632558894,0.27258120632,0.18544418,0.08871174,0.26794717532,0.27444878932
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/ludcmp_ret0,0.61692475392,0.09289042750680199,0.57695131032,0.55959018,0.05934473999999999,0.57130335532,0.7830324603200001
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/ludcmp_ret0,1.1889278141200001,0.023356830733607777,1.1773126303199999,1.0280343799999998,0.11112034,1.16853858132,1.21431480132
