command,mean,stddev,median,user,system,min,max
exes/mandelbrot,1.8467999962000001,0.17719752161415736,1.7257460822,1.8442001799999996,0.00204274,1.7051818732,2.0570033532000003
/home/mschnei2/pin//pin -- exes/mandelbrot,2.038659001,0.1672781721751271,2.0258266092,1.96614678,0.07402593999999998,1.9003170792,2.3102364722
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/mandelbrot,2.8819735376,0.2515234227752735,2.8271926392,2.7493899799999997,0.09671434,2.6530199382000004,3.2317157972
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/mandelbrot,4.637832362599999,0.4012476711878606,4.3838859512,4.518651180000001,0.11835533999999999,4.3504366522,5.270939880199999
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/mandelbrot,5.3213268472,1.4281439459814824,4.7151905582,5.22420078,0.06527693999999999,4.3223132772,7.7900687282
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/mandelbrot,2.9164208710000006,0.06525288235484952,2.8732078132,2.8034853799999997,0.10213694,2.8636553132,2.9922735932
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/mandelbrot,11637.9951460584,2763.9713676550655,11525.0334016612,5506.68079838,2345.63025034,7481.2809985812,14465.3857406942
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/mandelbrot,5.887644448800001,0.004490514644930017,5.8858690582,5.82210738,0.06631214,5.883588040199999,5.8951845261999996
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/mandelbrot,2.4910791856000003,0.004999538363120382,2.4888674502000003,2.4253111799999996,0.06555974,2.4870097412,2.4996276802
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/mandelbrot,4.6268853064,0.0036520125934002886,4.6268608682,4.55039578,0.07772574,4.6221694992,4.6323618192
