command,mean,stddev,median,user,system,min,max
exes/mm3_ret0,0.00039688433999999996,0.0001356043687673815,0.00034867874,0.00021442000000000002,0.000198148,0.00027984074000000003,0.00062192874
/home/mschnei2/pin//pin -- exes/mm3_ret0,0.13779433874,0.041856417234497165,0.11060844874,0.08616821999999999,0.05406057999999999,0.10461023574,0.18387747474000002
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/mm3_ret0,0.6028489381400002,0.1216543042358799,0.5278068597400001,0.54774862,0.057116179999999996,0.5159221247400001,0.7965782277400001
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/mm3_ret0,0.35625036614,0.004183176952736616,0.35607686574,0.24954242,0.10746417999999999,0.35124044374,0.36138042774
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/mm3_ret0,0.28046229014,0.030854726811784677,0.29426154774,0.20942281999999998,0.07383098,0.22532509574000004,0.29585354873999997
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/mm3_ret0,0.21583194494,0.04881877050068338,0.24287953574,0.14371622,0.06604658,0.16134636774000002,0.26429858274
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/mm3_ret0,0.8978415337400001,0.5804749594760599,0.7046446737400001,0.27406122,0.44305798,0.41567474974,1.90283591474
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/mm3_ret0,0.26511142094,0.059028198897573915,0.27268757274,0.15766741999999997,0.08091618,0.16802109474000002,0.32858840174
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/mm3_ret0,0.75011439674,0.14281764001342548,0.7497198927400001,0.6473106200000001,0.06479758,0.57506999274,0.9306529947400001
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/mm3_ret0,0.85256959354,0.1622120692258097,0.7564620677400001,0.7690126199999999,0.08573358,0.7446467777400001,1.12488247574
