command,mean,stddev,median,user,system,min,max
exes/multiplyInt,0.0007152606800000002,0.0007767548058747369,0.00038310568000000006,0.00022545999999999997,0.000195432,0.0003278746800000001,0.0021041126800000003
/home/mschnei2/pin//pin -- exes/multiplyInt,0.18075072668,0.04492857323535787,0.21077042368,0.11264105999999999,0.06971812,0.11266243468,0.21227910168000003
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/multiplyInt,0.7596777066800001,0.14559382426835726,0.85473217568,0.67811966,0.07812791999999999,0.55965921368,0.8785319366800001
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/multiplyInt,0.35086178328,0.07928120371972566,0.40624226868,0.23979586,0.11130912,0.24281553068000003,0.40960054668
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/multiplyInt,0.27372091728000003,0.0761989324157032,0.32844359368000003,0.21508545999999998,0.06079432,0.19010422368000002,0.33067642968000005
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/multiplyInt,0.27550577688,0.001487304046444168,0.27519641168000003,0.19706646,0.08025692,0.27377799368,0.27781511768
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/multiplyInt,1.01244967908,0.42834267026715744,1.1468971796799998,0.35088026,0.28429852,0.56251751368,1.54361279368
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/multiplyInt,0.26600386568,0.05863328529106685,0.30433593768,0.18426926,0.08361072,0.17454308468000002,0.30749371168
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/multiplyInt,0.9034128798800001,0.11677032862747566,0.95384323668,0.8210082599999999,0.08452491999999998,0.69459071068,0.9592053706800001
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/multiplyInt,1.12531747028,0.2893158940475847,1.2518399656799999,0.97740866,0.10714911999999999,0.8154966046800001,1.4661314956799998
