command,mean,stddev,median,user,system,min,max
exes/multiplyInt_ret0,0.00040888090000000006,0.00022471514785345466,0.00030822330000000004,0.00031844,0.00010005600000000002,0.0002796213000000001,0.0008081873
/home/mschnei2/pin//pin -- exes/multiplyInt_ret0,0.16917540770000003,0.035094538521145184,0.18393034630000002,0.10481204,0.06659064,0.10644824530000001,0.18726641630000002
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/multiplyInt_ret0,0.8326099047,0.008470848046518079,0.8312956733,0.75663024,0.07820884,0.8220830313,0.8446893293
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/multiplyInt_ret0,0.3293123403,0.057590911790415554,0.35456593830000005,0.23142724,0.09885744,0.2263630973,0.35696222730000005
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/multiplyInt_ret0,0.30393138450000007,0.023406476630428802,0.2940844723,0.22543584,0.07097364,0.29147048130000003,0.3457477653
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/multiplyInt_ret0,0.24581161710000005,0.00557172551718704,0.2442622023,0.16638824,0.07982503999999999,0.24086196930000003,0.2553826833
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/multiplyInt_ret0,0.7752479727,0.5578041155539203,0.5587269923,0.31652324,0.24908124000000004,0.36921892330000006,1.7307093103
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/multiplyInt_ret0,0.24813902329999998,0.0524415841525257,0.2698301423,0.17200544,0.07803724,0.15443038830000003,0.27411898430000003
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/multiplyInt_ret0,0.7720393501,0.12636814761139015,0.7815925683,0.6754566399999999,0.07402603999999999,0.6160766603,0.9310375683000001
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/multiplyInt_ret0,1.0003462506999998,0.21162436471510154,0.9502674923,0.9084222400000002,0.09406544,0.8027871093,1.2237932773
