command,mean,stddev,median,user,system,min,max
exes/seidel2d_ret0,0.0003937357,0.00010141828202400193,0.00036853550000000003,0.0001853799999999999,0.00020680000000000004,0.0003019685,0.0005663385
/home/mschnei2/pin//pin -- exes/seidel2d_ret0,0.10274323970000002,0.002804837932201555,0.10303773850000002,0.06698738,0.0377005,0.09858384150000002,0.10589650550000002
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/seidel2d_ret0,0.5042149915,0.002356526878450129,0.5044241755000001,0.45824118,0.0477003,0.5019666235000001,0.5078702295
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/seidel2d_ret0,0.20411771990000002,0.0024523011740744177,0.20369096450000002,0.14287397999999998,0.0619371,0.20128273650000003,0.2066466925
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/seidel2d_ret0,0.1663170747,0.004912918636727116,0.16529307350000003,0.12508718,0.0429947,0.16175979150000003,0.1746284945
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/seidel2d_ret0,0.13545027810000002,0.0028924210024773044,0.13646515350000002,0.09605578000000001,0.0420057,0.13146572550000002,0.13802773150000003
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/seidel2d_ret0,1.0040454425,0.6273844169134873,0.7427205755,0.30488618,0.4565353,0.6713568665,2.1224795425
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/seidel2d_ret0,0.2703097827,0.0019403480709213492,0.2711657965,0.18969377999999998,0.0829645,0.2668731365,0.2715168185
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/seidel2d_ret0,0.6838304433000001,0.14983058764761564,0.5792979615000001,0.61693278,0.0692723,0.5730724935000001,0.8875370645000001
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/seidel2d_ret0,0.9715007305000001,0.2243631150275509,0.8986452715000001,0.86780958,0.0868091,0.7496918615000001,1.2425344715
