command,mean,stddev,median,user,system,min,max
exes/spmv_ret0,0.0005111921000000001,0.00027310908563008305,0.00041533290000000006,0.00020507999999999998,0.00022339999999999998,0.0003457589000000001,0.0009956829000000002
/home/mschnei2/pin//pin -- exes/spmv_ret0,0.20053211830000003,0.0010803964580223813,0.20019677290000001,0.12913648,0.0737492,0.1992591629,0.20218732790000002
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/spmv_ret0,0.8982552221000002,0.1644016219575155,0.9852053419000001,0.81105088,0.07851919999999998,0.6285608729000001,1.0344559879000002
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/spmv_ret0,0.2190635735,0.0038800948282050204,0.2169382839,0.14791168,0.07186319999999999,0.2156657089,0.2243031739
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/spmv_ret0,0.17379243230000002,0.0047236851164324375,0.1727981869,0.13146947999999997,0.0435136,0.1673084739,0.1789728439
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/spmv_ret0,0.1464105865,0.00942735593021768,0.1429080929,0.09861488,0.0492006,0.1405741929,0.16298967090000002
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/spmv_ret0,0.6991400034999999,0.6109208149523929,0.4331745729,0.23617667999999997,0.3881918,0.37639524690000004,1.7905336489
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/spmv_ret0,0.2049045959,0.053936409021972456,0.1758677109,0.13932647999999997,0.067808,0.1615284729,0.2870271609
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/spmv_ret0,0.7699955701000001,0.0713990367246943,0.7545936799000001,0.70504448,0.0672562,0.7023181479000001,0.8517154179000002
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/spmv_ret0,1.2241195801000002,0.18280109637560674,1.2278813439,1.11903768,0.1070042,0.9389940749000001,1.4335870559000001
