command,mean,stddev,median,user,system,min,max
exes/symm_ret0,0.00040005970000000016,0.00010170460422812728,0.00036752790000000007,0.00018005999999999995,0.00020807199999999996,0.0003395939000000001,0.0005805279000000002
/home/mschnei2/pin//pin -- exes/symm_ret0,0.1119812985,0.006914588671544304,0.10987292690000001,0.07107686,0.043675139999999994,0.10655208790000001,0.12409600790000001
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/symm_ret0,0.6899964501,0.1543804658021721,0.7990373379000001,0.61553646,0.07650114,0.5201101099000001,0.8054338099
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/symm_ret0,0.2555788151,0.06074726977806952,0.23929272690000003,0.17645346,0.07958034,0.20878910490000002,0.35894813090000005
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/symm_ret0,0.2588418851,0.05249397993528057,0.29362555690000003,0.19898926,0.06252294,0.17856072390000002,0.2951831339
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/symm_ret0,0.2066340815,0.05280264871269781,0.24031873390000003,0.13777746,0.07121894,0.13830772090000001,0.2479564599
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/symm_ret0,0.7656739367000001,0.5780226977747919,0.5119143169,0.26180626,0.3985493399999999,0.3730370599,1.7795612699
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/symm_ret0,0.18703757050000003,0.049590788323127376,0.1622232379,0.12771645999999998,0.06189734,0.1515741129,0.27012914190000004
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/symm_ret0,0.7125768495000001,0.16374765615710785,0.5981873659,0.6489686600000001,0.06593354,0.5886046949,0.8949748239
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/symm_ret0,0.7731349635,0.027273077290105707,0.7673954169,0.70707306,0.06823874,0.7516849199000001,0.8197310969
