command,mean,stddev,median,user,system,min,max
exes/syr2k_ret0,0.00050761352,0.00036599398494947973,0.00033184232,0.00026681999999999997,0.00016024399999999998,0.00030486232,0.00115827432
/home/mschnei2/pin//pin -- exes/syr2k_ret0,0.10678225191999999,0.002866315143325625,0.10612864532,0.06170742,0.047794739999999995,0.10463434732,0.11161220732
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/syr2k_ret0,0.6974095805200001,0.1564517153772866,0.7979652623200001,0.62940802,0.06955454000000001,0.5229165923200001,0.8198270133200001
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/syr2k_ret0,0.35877744411999996,0.002669658050347311,0.35856915232,0.24041001999999997,0.11927994,0.35578471831999997,0.36236208632
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/syr2k_ret0,0.29371296671999997,0.002699038962532272,0.29401906932,0.22498381999999997,0.07134714,0.29087608232,0.29646435632
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/syr2k_ret0,0.24472517552000003,0.0018089727245737268,0.24396701132,0.17350861999999997,0.07283974,0.24268048432000003,0.24703787432000002
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/syr2k_ret0,0.7303557045200001,0.6786420742708187,0.45893799032,0.22467041999999998,0.39640234,0.38255896831999997,1.9422827263200002
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/syr2k_ret0,0.24704309172,0.052597002834393364,0.27031636931999997,0.17115762,0.07781074,0.15296983332,0.27151762632
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/syr2k_ret0,0.71187075152,0.13057086131245368,0.67986770332,0.6446916199999999,0.06971354,0.57650146132,0.88520014832
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/syr2k_ret0,0.93038813432,0.21462236633506968,0.7834754783200001,0.84994962,0.08213773999999999,0.7684484433200001,1.16760097832
