command,mean,stddev,median,user,system,min,max
exes/trisolv,0.0010583938400000003,0.00014206013790222786,0.00105162624,0.0005547,0.000496916,0.0008991482400000001,0.00128153424
/home/mschnei2/pin//pin -- exes/trisolv,0.19265957764000002,0.03986873135747791,0.21798228224000002,0.1217881,0.07292726,0.12749429324,0.21858215524000002
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/trisolv,0.7496601436400001,0.1375555790479522,0.8421958562400002,0.6721090999999999,0.07531866,0.5536556932400001,0.8497906152400001
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/trisolv,0.40989394504,0.04063304393606272,0.42723970824,0.27941950000000004,0.13074426,0.33726975424,0.43081991124
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/trisolv,0.19916141964,0.0012794988211363495,0.19900521924,0.14957369999999998,0.05217345999999999,0.19744642624,0.20074613724
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/trisolv,0.18459382664,0.05635385620841151,0.16085374924,0.1292467,0.05722466,0.15518268324,0.28530365524
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/trisolv,2.7020582422399997,0.604290072005054,2.5285537902399997,1.0669993,0.6582528599999999,2.2637799312399998,3.7549943522399998
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/trisolv,0.22792074184000005,0.05287262329432649,0.21408305224000002,0.16170869999999998,0.06829886,0.18266155624,0.31645306524
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/trisolv,0.74838204764,0.12477371455865813,0.7668098662400001,0.6763335,0.07358045999999999,0.6268779532400001,0.9278618262400001
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/trisolv,0.8710910946400002,0.06624621662085892,0.8605864682400001,0.7896762999999999,0.08329286,0.8071840142400001,0.9407248482400001
