command,mean,stddev,median,user,system,min,max
exes/atax_ret0,0.0004785595800000002,0.0002421277744873562,0.00044242178000000016,0.00027872,0.00016125599999999998,0.00022308578000000017,0.0008165377800000002
/home/mschnei2/pin//pin -- exes/atax_ret0,0.10876161737999998,0.007848371150079343,0.10486040478,0.06628611999999999,0.04390136,0.10061620678000001,0.11742929578
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/atax_ret0,0.57344211858,0.09380408059972048,0.5389886257800001,0.51886612,0.056088559999999996,0.5159109247800001,0.7384970607800001
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/atax_ret0,0.22044541298000003,0.010329677789395982,0.22097961178,0.14438272,0.07605035999999998,0.20908930678,0.23640727878
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/atax_ret0,0.16689165678,0.004915252205172437,0.16753630278,0.12000192000000001,0.04711316,0.16167143378,0.17193673178000002
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/atax_ret0,0.16219326837999998,0.05181701568706426,0.13947968878,0.10716972,0.05631316000000001,0.13390663478,0.25431208978000003
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/atax_ret0,0.47358190418,0.1300426484512216,0.38851207978,0.2816435199999999,0.18825756,0.36214778578,0.6210990757800001
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/atax_ret0,0.19674039197999998,0.04311325887917165,0.19429402078000002,0.12973892,0.06848015999999998,0.15334004878000002,0.25614747478
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/atax_ret0,0.6150596681800001,0.03308947798507566,0.5972456057800001,0.5560327199999999,0.06018156,0.5929291217800001,0.6711720497800001
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/atax_ret0,0.8629985075800001,0.13868287523332984,0.7738162597800001,0.78843732,0.07643655999999999,0.7675366837800001,1.0804089047799998
