command,mean,stddev,median,user,system,min,max
exes/boa_ret0,0.0005125886800000001,0.00008268113966498043,0.0005057962799999999,0.00019203999999999996,0.000212352,0.00040148128000000005,0.0005945972800000001
/home/mschnei2/pin//pin -- exes/boa_ret0,0.12308421708000002,0.008741329418484796,0.12170939928,0.07562164000000002,0.048969519999999996,0.11603400228,0.13785128528
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/boa_ret0,2.4332925608799996,0.035311567575218465,2.41536170928,2.3545032399999997,0.08007812,2.4074581302799998,2.4933455692799997
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/boa_ret0,0.32698004208000003,0.08623572171550964,0.32725841828,0.22127244,0.10528491999999998,0.24002257728,0.41576162228
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/boa_ret0,0.26303606688,0.0724604778659743,0.31426139628000005,0.20022124,0.06495932,0.17484953328000002,0.31748552728
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/boa_ret0,0.21797455788000003,0.06054818314035236,0.26063784428000003,0.14668144,0.07346892000000001,0.15021438328000003,0.26346724028
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/boa_ret0,0.62205688508,0.20341888394869134,0.52816539728,0.37179704,0.17122792,0.40776790028000004,0.90392571428
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/boa_ret0,0.28929069708000005,0.0037736151205268265,0.29098856628,0.19812623999999995,0.09268392,0.28457841728000005,0.29277571628000004
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/boa_ret0,2.9232815170800004,0.16257504111223026,2.88425658628,2.84806124,0.07581032000000001,2.77670434828,3.1945772032799997
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/boa_ret0,3.73556251448,0.255240567434551,3.62511052628,3.5630790399999994,0.17385911999999998,3.59689054428,4.19086421528
