command,mean,stddev,median,user,system,min,max
exes/correlation_ret0,0.00041459524,0.00005300574006369497,0.00038988504,0.00020505999999999996,0.00024195199999999998,0.00036552803999999995,0.0004962720399999999
/home/mschnei2/pin//pin -- exes/correlation_ret0,0.19109944943999999,0.022450713508663202,0.20077672904,0.12161206,0.07018794,0.15103543404,0.20315345704
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/correlation_ret0,0.77958504804,0.1336297625142814,0.82614910804,0.71172006,0.06957994,0.63704819204,0.90950030904
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/correlation_ret0,0.23962941184000003,0.03373407292998529,0.22306810904000002,0.15879746,0.08121934,0.21959210304000001,0.29928481104000004
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/correlation_ret0,0.22002967784000002,0.0545315309617292,0.20285384104,0.16463305999999997,0.05778373999999999,0.17562631604,0.30959577404000005
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/correlation_ret0,0.16944185084000002,0.014719231862564646,0.16315092204,0.11166885999999998,0.05994994,0.15254836504,0.18990792704
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/correlation_ret0,0.6064532546400001,0.14069813753334073,0.66951885404,0.38100086,0.17137874,0.38302784904000003,0.73322946904
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/correlation_ret0,0.26373246144,0.05683403844058165,0.28902398604,0.17835845999999997,0.08663074,0.16214129104,0.29154737304000006
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/correlation_ret0,0.8050201036400001,0.10375672682400462,0.75723238104,0.74452126,0.062495539999999995,0.72259185104,0.95976067404
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/correlation_ret0,1.06455378544,0.1459560677925713,1.02144346604,0.9769078600000001,0.08934014,0.94164214304,1.29223353304
