command,mean,stddev,median,user,system,min,max
exes/covariance_ret0,0.00035070978,0.0000501667209632043,0.00037024957999999997,0.00021169999999999994,0.00019148,0.00029022157999999997,0.00040910258
/home/mschnei2/pin//pin -- exes/covariance_ret0,0.13850193398000002,0.0367177431569816,0.12527801058000002,0.0864105,0.053618599999999995,0.10623330358000001,0.18910064758
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/covariance_ret0,0.5376586439800001,0.03490410336755669,0.51694122458,0.4830519,0.056088999999999986,0.5117308435800001,0.5923184515800001
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/covariance_ret0,0.27386561598000003,0.08001190569706008,0.21920652758,0.18403189999999997,0.0899132,0.21219111158,0.36239911658000007
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/covariance_ret0,0.18241533458,0.01613955163940802,0.17233697958,0.13536829999999997,0.04922420000000001,0.16902980958,0.20216386058000002
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/covariance_ret0,0.21342195418000004,0.05235345284977584,0.24887628858000002,0.1444981,0.0708028,0.13471435058,0.25009195758
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/covariance_ret0,0.5190866839800001,0.10418177331249343,0.52786967058,0.29538129999999996,0.17102099999999995,0.3980292005800001,0.66369867258
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/covariance_ret0,0.18042010378,0.03195858976511522,0.16520133958,0.11818089999999999,0.06340879999999999,0.15002286858,0.21685621458
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/covariance_ret0,0.6669066301800001,0.13018772130672507,0.6209166835800001,0.6054779,0.0627972,0.58012963358,0.8967180845800001
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/covariance_ret0,0.76787023918,0.01783448217842929,0.75814673858,0.7029534999999998,0.0661534,0.75353021858,0.7958940185800001
