command,mean,stddev,median,user,system,min,max
exes/factorial,0.00040880683999999995,0.00003768928236514992,0.00041662603999999997,0.00027168,0.000194864,0.00035924403999999994,0.00045357603999999997
/home/mschnei2/pin//pin -- exes/factorial,0.20660120824000003,0.04350520864623689,0.22854525104,0.13217428,0.07566944,0.13338714604000002,0.23987310804
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/factorial,0.6144021764400002,0.07124702363964279,0.5635198640400001,0.5408980800000001,0.07475984,0.56107678804,0.6975582330400001
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/factorial,0.33095345484000005,0.06108899889930464,0.30608182204000006,0.22034968,0.10919184,0.27689822304000006,0.41228255204
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/factorial,0.3400769384400001,0.06912559815466597,0.37098236604000007,0.26504987999999996,0.07703224,0.21647866204000002,0.37337485104000007
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/factorial,0.30665941644000005,0.0036347885210269533,0.30725134504000007,0.20880668,0.09907144,0.30111934804000007,0.31031467604000007
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/factorial,0.5949468724400001,0.1608703429957207,0.51109850804,0.29304408,0.19089524,0.48120992104000004,0.8710572750400001
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/factorial,0.25411613304,0.05537223190998184,0.22563840704000002,0.17867888,0.07631624,0.19769342604,0.32972257404000005
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/factorial,0.65592606064,0.04687691079639565,0.6352346160400001,0.59391588,0.06360724,0.63140944204,0.73955614804
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/factorial,0.8628004818400001,0.06396764307207499,0.8187694430400001,0.7850174799999998,0.07985104000000001,0.8171854930400001,0.95452478504
