command,mean,stddev,median,user,system,min,max
exes/gesummv,0.00157854242,0.0010592352057694741,0.0011610474199999997,0.0008900400000000001,0.00037871199999999996,0.0010255114199999998,0.0034685764199999997
/home/mschnei2/pin//pin -- exes/gesummv,0.22068143201999998,0.0015398198211587285,0.22037884442000003,0.14587709999999998,0.07644638,0.21888432242000003,0.22236025642
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/gesummv,0.69737188162,0.17414462880506515,0.6152960054200001,0.6145411,0.07151597999999999,0.5410874974200001,0.9255267424200001
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/gesummv,0.39739294062,0.08050451455466831,0.43212482642000005,0.2785605,0.11848837999999999,0.25344657542000004,0.43753844942000003
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/gesummv,0.34785157482000006,0.0022017956290056226,0.34852485042000003,0.2742367,0.07629358,0.34510385242,0.35070228842
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/gesummv,0.22920894562000008,0.05498873887838008,0.21766679542000003,0.1594093,0.07174118,0.15595862542000002,0.28460936142000004
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/gesummv,3.6534318282199996,0.7563189826496718,3.69772013942,1.5624869,0.80247018,2.68313028142,4.7319479094200005
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/gesummv,0.18236046142,0.0015264159123515471,0.18315838642,0.1218969,0.061712579999999996,0.18012617442,0.18373779842000001
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/gesummv,0.7898603362200001,0.14095206901827317,0.82786406942,0.6948325,0.08609777999999998,0.6078903064200001,0.9320011744200001
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/gesummv,0.89223570502,0.18823334728522081,0.79937410442,0.8114139,0.08271338,0.78997578442,1.22568137142
