command,mean,stddev,median,user,system,min,max
exes/mandelbrot_ret0,0.0004017615000000001,0.00020782876981784786,0.0003281035000000001,0.00026282000000000003,0.00014407999999999996,0.0002736915000000001,0.0007704255000000001
/home/mschnei2/pin//pin -- exes/mandelbrot_ret0,0.1261252351,0.03661197126171247,0.1172419115,0.07800082,0.050512,0.10115486550000001,0.1898926975
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/mandelbrot_ret0,0.6734440439,0.14831527083515078,0.6567629795000001,0.60582762,0.06774480000000001,0.5269633985000001,0.8258820725
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/mandelbrot_ret0,0.43340774790000003,0.09418813357827567,0.43003271350000005,0.23828261999999997,0.104424,0.2973452105,0.5553631735000001
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/mandelbrot_ret0,0.2162342395,0.07630724208150703,0.1781243265,0.15655042,0.0505548,0.1684200895,0.3502187195
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/mandelbrot_ret0,0.22455351390000003,0.0510686705104631,0.24631999850000003,0.15209402,0.074546,0.1332563075,0.24941851050000002
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/mandelbrot_ret0,0.7906495457,0.5655567830646913,0.6614160795,0.31453042,0.41578119999999996,0.39001337550000004,1.7715777345
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/mandelbrot_ret0,0.1910513641,0.055527867718402124,0.1548423445,0.12804642,0.065096,0.1492508435,0.2737801265
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/mandelbrot_ret0,0.9162331745000001,0.006093275835577108,0.9173419725,0.8372282200000001,0.0807082,0.9059774375,0.9216840975
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/mandelbrot_ret0,0.9341215180999999,0.1878117811139056,0.8997685005,0.82828682,0.0767014,0.7841379535,1.2481063495
