command,mean,stddev,median,user,system,min,max
exes/mvt_ret0,0.00046002512,0.00017323156856156443,0.00037481572,0.00029373999999999996,0.000165664,0.00036333272000000006,0.00076638772
/home/mschnei2/pin//pin -- exes/mvt_ret0,0.13919348392,0.04340338028608689,0.11034156772,0.08842774,0.05316563999999999,0.10294272372,0.18689506772
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/mvt_ret0,0.8042483451200002,0.006945631481501774,0.8013146917200001,0.72426574,0.08257663999999998,0.7971970767200001,0.8141213077200001
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/mvt_ret0,0.34961161112,0.011972370135287359,0.35313568372000004,0.23864893999999995,0.11191384,0.32877560772000003,0.35852027972
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/mvt_ret0,0.29183750111999995,0.068218637571714,0.29387430972,0.19900953999999998,0.06376363999999998,0.19257721672,0.36203998972
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/mvt_ret0,0.29637811832,0.052559635212704604,0.27292497172,0.17126554,0.07346904,0.24446796572,0.37757138972000004
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/mvt_ret0,0.9838076775200001,0.504184284467398,1.01291117672,0.37668053999999995,0.29453303999999997,0.41536491572,1.6332082007200002
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/mvt_ret0,0.22290322512000005,0.06333165415456954,0.26830794272,0.15546854,0.06968424,0.15336671672000002,0.27057661872
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/mvt_ret0,0.7501895215200001,0.142838024619418,0.7531999717200001,0.6765993399999999,0.07589564,0.57195381172,0.8900778257200002
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/mvt_ret0,1.1371936701199998,0.08981106164383777,1.1760556017200001,1.03406314,0.10573283999999998,0.9766525017200001,1.1827653307200001
