command,mean,stddev,median,user,system,min,max
exes/pacalc_ret0,0.0005660751400000001,0.000403418429793806,0.00038373974,0.00045172000000000007,0.000066724,0.0003700387399999999,0.00128691274
/home/mschnei2/pin//pin -- exes/pacalc_ret0,0.16704891294,0.04208716035482258,0.19719282174,0.10436752,0.06520302,0.11368802174,0.19790572374
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/pacalc_ret0,0.8590361421400001,0.14460349721388016,0.82560057074,0.7856273199999999,0.07073082,0.71596726974,1.10093770774
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/pacalc_ret0,0.22356411573999999,0.00865866769222728,0.22116198374,0.15828012,0.06614941999999999,0.21654999474,0.23819065974
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/pacalc_ret0,0.20527219733999996,0.0573343287743773,0.18077868974,0.15494532,0.05280142,0.17660043774,0.30778229374
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/pacalc_ret0,0.25596691234,0.0010568496554928272,0.25542409674,0.17879831999999998,0.07935082,0.25503283474,0.25738150374
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/pacalc_ret0,0.58648413714,0.25833389903143944,0.48992897774,0.24969771999999998,0.25500822,0.39708496974,1.03486589874
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/pacalc_ret0,0.21731866813999998,0.06604802022799362,0.18800768674,0.15256112,0.06661562,0.15931549374,0.29063885174
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/pacalc_ret0,1.13976479474,0.13797009404372854,1.19850866874,1.05463732,0.08698121999999998,0.89307515274,1.20737282074
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/pacalc_ret0,1.54637507134,0.2680936253972496,1.60324645774,1.3608139199999998,0.11158242,1.12023173474,1.77281620574
