command,mean,stddev,median,user,system,min,max
exes/pathfinding,0.019117420200000002,0.00039678768547511575,0.0190508354,0.018550039999999997,0.00046755999999999995,0.018715245400000004,0.0197531324
/home/mschnei2/pin//pin -- exes/pathfinding,2.6453727652000003,0.4155019276212505,2.5644185874,2.20821424,0.42319490000000004,2.2571532284,3.2387418644
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/pathfinding,3.5012228122000004,0.5125636075346829,3.2979668204,3.03538044,0.4503851000000001,3.0446836874,4.3020049864
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/pathfinding,5.3101676076,1.0858386487855891,5.1205998554,4.26587964,0.9983564999999999,4.288200310400001,6.6931091104
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/pathfinding,4.438173268400001,0.6739201817129966,4.8363780524,3.90465544,0.5171241,3.4692562144,5.0452208884
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/pathfinding,3.4323279272000002,0.7401104554892266,3.5367383364,2.87305444,0.5407957,2.2743718914000004,4.1053965254
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/pathfinding,127.71711370919999,9.581240022024351,126.3324234864,87.17328143999998,35.924557899999996,117.4309160314,142.3595747144
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/pathfinding,2.939256428,0.014675041760661428,2.9341434174,2.4682724400000002,0.4482551,2.9216945774000003,2.9581100914
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/pathfinding,3.1417641566000003,0.027338723181837856,3.1321710744,2.77171764,0.35205949999999997,3.1215907684000004,3.1896018454000004
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/pathfinding,3.6412765006,0.02657369523826192,3.6475653324,3.26498384,0.3560811,3.6052751664000002,3.6766630924
