command,mean,stddev,median,user,system,min,max
exes/pathfinding_ret0,0.0010051679800000002,0.0014129868317312802,0.00040135397999999995,0.00042404,0.000059800000000000003,0.00034407198,0.0035322979800000006
/home/mschnei2/pin//pin -- exes/pathfinding_ret0,0.09945701898,0.0020319364960215912,0.09987469498,0.057069039999999994,0.0445988,0.09717784998000001,0.10210869998000001
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/pathfinding_ret0,0.5392048703800001,0.008203104513510601,0.5351624689800001,0.48226324,0.0541076,0.53096072898,0.5495952509800001
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/pathfinding_ret0,0.20273838158,0.004012230994790092,0.20313028898000002,0.13619784000000001,0.06724359999999999,0.19799843198,0.20767658498
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/pathfinding_ret0,0.16183064898000002,0.003479931786963652,0.16164006898,0.12355824,0.0404326,0.15737566098,0.16710350498
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/pathfinding_ret0,0.13336331498000004,0.004333189691167865,0.13264034898000002,0.08446363999999998,0.050825999999999996,0.12917362698,0.13903512798
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/pathfinding_ret0,0.9904086723800001,0.6609612107452748,0.71150090198,0.31104963999999996,0.4502212,0.54961322398,2.14348725398
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/pathfinding_ret0,0.20141794718,0.06393841002674931,0.15564321298,0.13987244,0.06377759999999999,0.15349426698000002,0.27153632498
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/pathfinding_ret0,0.89091242358,0.07070606004785701,0.9354542369800001,0.8068712399999999,0.08623079999999998,0.7868867179800001,0.94384455998
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/pathfinding_ret0,0.95772888458,0.2227128885212449,0.79988932398,0.8723590399999999,0.08751319999999999,0.79316478698,1.22334816898
