command,mean,stddev,median,user,system,min,max
exes/rguilayout_ret0,0.0005003312200000001,0.00027344613898627274,0.00038093022000000007,0.00034300000000000004,0.00012824,0.00035436922000000015,0.00098868922
/home/mschnei2/pin//pin -- exes/rguilayout_ret0,0.13821573662000003,0.03780293907056618,0.11921106222000001,0.0846088,0.056042999999999996,0.10456446522,0.18725481722
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/rguilayout_ret0,0.7544723294200001,0.15493580493275516,0.68768366122,0.6879709999999999,0.06870699999999999,0.67705983022,1.03131264222
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/rguilayout_ret0,0.32908365242,0.05839965215074611,0.35333999822,0.2228448,0.10731639999999998,0.22467259622000002,0.35774052422
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/rguilayout_ret0,0.29591933022,0.05078019398725243,0.29534355622,0.2088902,0.0738712,0.21528268022000002,0.34931676722
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/rguilayout_ret0,0.27046779362000006,0.058198386731687535,0.24535540722000002,0.1681762,0.07877359999999999,0.24290520722000003,0.37454913922
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/rguilayout_ret0,0.8114941100200002,0.5734099752966941,0.5626591562200001,0.2694924,0.35777139999999996,0.35892080122000003,1.70220127022
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/rguilayout_ret0,0.15767995342000002,0.002462831921427685,0.15830627322000002,0.10280619999999999,0.05733239999999999,0.15516909722000002,0.16085526322000002
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/rguilayout_ret0,0.8887279108200001,0.17701698765623242,0.78984218222,0.8165989999999999,0.07429159999999999,0.74762518822,1.14765202622
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/rguilayout_ret0,1.0653629282200001,0.07929456874128335,1.01198744522,0.9829996000000001,0.08432239999999999,1.00437180522,1.17619232122
