command,mean,stddev,median,user,system,min,max
exes/riconpacker_ret0,0.00050664776,0.0002525826311342488,0.00040435856000000015,0.00018492799999999992,0.00032210400000000003,0.0003632265600000001,0.0009572465600000001
/home/mschnei2/pin//pin -- exes/riconpacker_ret0,0.18143373656,0.03640958869570002,0.19766879956,0.11598956,0.06792957999999999,0.11636644856,0.19981590456
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/riconpacker_ret0,0.96693518956,0.12756735644029524,1.02698052956,0.8928835599999999,0.07566878000000002,0.78125334656,1.07819924356
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/riconpacker_ret0,0.34462809936000005,0.07023933944938474,0.37478021056,0.23189475999999995,0.11325197999999999,0.21903410256,0.37916019656
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/riconpacker_ret0,0.30873313036,0.002852978973501753,0.30945675256,0.23495596000000002,0.07669358,0.30388472856000004,0.31094371556
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/riconpacker_ret0,0.25502167476000004,0.0010399726444674973,0.25479148356000003,0.17774695999999998,0.07960898000000001,0.25388535056,0.25666620356000003
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/riconpacker_ret0,0.67131542796,0.06963388869767494,0.68879976956,0.42109655999999995,0.23434958,0.59693704256,0.73730176356
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/riconpacker_ret0,0.28538557456,0.06413349131630922,0.28126938356000003,0.18366436,0.08414378,0.20491209756,0.38450357356000003
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/riconpacker_ret0,1.1089561387600002,0.21892520976108726,1.14078203256,1.0273891599999998,0.08384497999999999,0.8816575175600001,1.32405468456
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/riconpacker_ret0,1.4685604781600001,0.29499042392447833,1.4385505235600002,1.34766916,0.11774238,1.1726266815600002,1.7706410815600002
