command,mean,stddev,median,user,system,min,max
exes/sandspiel_ret0,0.0023841234000000003,0.004674847177920494,0.00029686720000000015,0.00015287999999999999,0.00020493600000000002,0.0002619662000000002,0.010746659200000001
/home/mschnei2/pin//pin -- exes/sandspiel_ret0,0.13377998300000002,0.031060137572871092,0.12741953020000002,0.08280787999999999,0.05368831999999999,0.1094284192,0.1858306602
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/sandspiel_ret0,0.7206211084,0.03141657643186007,0.7072609442000001,0.65853608,0.06424112,0.6921508362000001,0.7710661902
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/sandspiel_ret0,0.2731368468,0.07397118917811904,0.2392339762,0.17855928,0.09542051999999998,0.2071908762,0.3575960462
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/sandspiel_ret0,0.17307035480000002,0.0071594041192933255,0.1713057392,0.13119988,0.044173319999999995,0.1656234712,0.1837521312
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/sandspiel_ret0,0.21913799360000003,0.035415836734534314,0.24267801220000002,0.15206227999999997,0.06938952,0.1690172502,0.24616007820000002
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/sandspiel_ret0,0.5005599176,0.15771395960929271,0.43107679520000003,0.24360668,0.21073832,0.4007275812,0.7800916832
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/sandspiel_ret0,0.1546870248,0.004383475177287226,0.1564721212,0.10177988,0.05466891999999999,0.14915411920000002,0.15890365420000002
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/sandspiel_ret0,0.9840199502000001,0.1354276296379293,0.9855767632000001,0.90614108,0.07973032,0.8502470052000001,1.1647523762
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/sandspiel_ret0,1.0710014324000001,0.059728418893058924,1.0319087362000001,0.9929120800000002,0.08007712,1.0266260202000002,1.1616692312
