command,mean,stddev,median,user,system,min,max
exes/backpropagation_ret0,0.0005440080400000001,0.00025744460810667603,0.0004733178400000001,0.00045221599999999997,0.00015058799999999998,0.0003133418400000001,0.0009583998400000001
/home/mschnei2/pin//pin -- exes/backpropagation_ret0,0.12493327704000001,0.008609392985348654,0.12329075384000002,0.07554822,0.05089973999999999,0.11423449484000002,0.13810940384
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/backpropagation_ret0,0.53923064764,0.04408276325220673,0.5219949138400001,0.48174782,0.058514739999999996,0.51030177484,0.61586191584
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/backpropagation_ret0,0.24216499464000002,0.0410016018736791,0.22629272784,0.16213661999999998,0.07871513999999999,0.21603160584,0.31435462784
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/backpropagation_ret0,0.19060114324,0.026720785704499116,0.18291432284,0.14202202,0.05041273999999999,0.16332244984,0.23100258184
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/backpropagation_ret0,0.16046960484,0.047909725989698546,0.14077554384,0.10384062000000001,0.057797339999999996,0.13316668384,0.24592644984
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/backpropagation_ret0,0.37978407404000003,0.058096820880084915,0.35547123084000004,0.23155522,0.12609434,0.34654383484,0.48279456984
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/backpropagation_ret0,0.17094033624000002,0.018233813054506928,0.16977058684000002,0.11363582000000001,0.05902714,0.14836726384,0.19735869784
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/backpropagation_ret0,0.7226887616400001,0.1372403747907355,0.7318623898400001,0.64991682,0.07422754000000001,0.5791536808400001,0.8822266478400002
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/backpropagation_ret0,0.7713241952400001,0.018292420176255868,0.7621872898400001,0.70991222,0.06349034,0.75669190484,0.7991322938400001
