command,mean,stddev,median,user,system,min,max
exes/gameoflife_ret0,0.0003536403600000001,0.00009366720521345769,0.00031545636,0.00021479999999999994,0.00015302799999999999,0.0002913133600000001,0.00051688736
/home/mschnei2/pin//pin -- exes/gameoflife_ret0,0.15590951675999998,0.040739931809428954,0.18510889136,0.1000648,0.058333979999999994,0.11046724536000001,0.18673787236
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/gameoflife_ret0,0.7609203983599999,0.1531689036382792,0.78718387836,0.6509442000000001,0.07528638,0.55487093736,0.97494653836
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/gameoflife_ret0,0.29831608476000004,0.08013772130378166,0.35485582136000005,0.2016676,0.09728877999999999,0.20500417636,0.35877205836000003
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/gameoflife_ret0,0.29222536856000003,0.0073445996435106495,0.29516890536000007,0.2245932,0.07019798,0.27937331936000004,0.29776564136000006
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/gameoflife_ret0,0.24414152996,0.002078285571724757,0.24329272336000002,0.17074079999999997,0.07561578,0.24197914936,0.24681305436
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/gameoflife_ret0,0.76799430996,0.4022929955259328,0.66501221936,0.27227119999999994,0.22873137999999998,0.48354233036000005,1.46350730736
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/gameoflife_ret0,0.20121794796000003,0.06396366252137832,0.15748794536,0.1383802,0.06509778,0.15101889436000002,0.27129330936
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/gameoflife_ret0,0.66508575756,0.09663062209863446,0.62313387936,0.5994798,0.06791438000000001,0.56742374036,0.80897841736
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/gameoflife_ret0,1.06206992656,0.17389436796232075,1.14925676936,0.9609186,0.10366057999999997,0.75685276436,1.16324992136
