command,mean,stddev,median,user,system,min,max
exes/jacobi1d_ret0,0.00038430969999999996,0.00017659421758879873,0.0003128841,0.00032562,0.00009404799999999999,0.00027389309999999997,0.0006981070999999999
/home/mschnei2/pin//pin -- exes/jacobi1d_ret0,0.1586015405,0.03994971337093913,0.18650392210000002,0.09991142,0.06094801999999999,0.1092297031,0.18834385110000001
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/jacobi1d_ret0,0.7547982478999999,0.09990607333452282,0.7985704541,0.68127962,0.07595961999999999,0.5762066411,0.8030272331
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/jacobi1d_ret0,0.35674531569999995,0.0008399796641921185,0.3567343571,0.25439622,0.10319061999999998,0.3555131521,0.3576983181
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/jacobi1d_ret0,0.29427200370000006,0.0013746008055695077,0.2946776351,0.22669701999999997,0.07026001999999999,0.2920075701,0.29565271010000005
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/jacobi1d_ret0,0.22364284370000004,0.046501698188797305,0.24442908810000002,0.15518442000000002,0.07088681999999999,0.14048813910000002,0.24577726710000003
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/jacobi1d_ret0,0.5729950187000001,0.1875911975787886,0.5057812781,0.22318141999999996,0.21765782000000003,0.40064315710000004,0.8545237441
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/jacobi1d_ret0,0.16968982430000001,0.027174323971231037,0.15405943210000003,0.11459401999999999,0.057299619999999996,0.14869165510000001,0.20937072510000002
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/jacobi1d_ret0,0.6404926605,0.07582404163333963,0.6147575990999999,0.57916062,0.06061042,0.5875043051,0.7710919591
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/jacobi1d_ret0,0.7953956565,0.052077563554466,0.7685537661,0.7268126199999999,0.07097562,0.7648956281,0.8864890471
