command,mean,stddev,median,user,system,min,max
exes/mvt,0.0014138242000000002,0.00020005198438530916,0.0013374702000000002,0.0008716479999999998,0.0005584559999999999,0.0012405762000000002,0.0017538862000000001
/home/mschnei2/pin//pin -- exes/mvt,0.2011769794,0.04201016373557005,0.21983077220000002,0.13392516,0.06951882,0.12604412420000002,0.2210480542
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/mvt,0.6283800384000001,0.12420027345699684,0.5752134222,0.5592231599999999,0.06967061999999999,0.5417642922000001,0.8388732842000001
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/mvt,0.4186308642,0.0456893727396033,0.4401557482,0.28897656,0.12945262,0.3371202732,0.4416195432
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/mvt,0.31937587,0.0588445910454315,0.3493709062,0.24622835999999998,0.07553061999999999,0.21521551020000002,0.3508028042
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/mvt,0.2252798512,0.06451617539133364,0.24336845320000003,0.15771775999999998,0.06925042,0.1569532082,0.2852335642
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/mvt,5.4020064254,0.6583622092339518,5.0038655812,2.78182536,1.47131102,4.8096268052,6.1390970932
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/mvt,0.29486491679999993,0.0379428701340602,0.3194976242,0.20375616000000002,0.09278322,0.2428083302,0.3236597622
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/mvt,0.7538341706,0.14200754582755318,0.7807442502,0.68474756,0.07083602,0.6046177822000001,0.9316228492
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/mvt,1.0027154918,0.1974996030789782,0.9894810022000001,0.9087791599999999,0.09603622,0.7945407732,1.2309564032
