command,mean,stddev,median,user,system,min,max
exes/trisolv_ret0,0.00042026594,0.00018612352714877296,0.00035384234000000004,0.000231512,0.000236164,0.00031178134,0.0007512403400000002
/home/mschnei2/pin//pin -- exes/trisolv_ret0,0.11002436414000001,0.003444486152825661,0.11030484634,0.06597713999999999,0.046940939999999994,0.10523465534,0.11426929734
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/trisolv_ret0,0.7710156251400001,0.07154277292905921,0.79965443134,0.6717481399999998,0.07628014,0.6433662333400001,0.8110276163400001
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/trisolv_ret0,0.35768125874000006,0.0007901050699636715,0.35736907334,0.24131034,0.11744534,0.35702748134,0.35902236834
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/trisolv_ret0,0.22917223914000004,0.06322085442275543,0.22831521334000002,0.17391554,0.05788713999999999,0.16490472234000003,0.29379908934000004
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/trisolv_ret0,0.23153956894000002,0.02782174740638516,0.24395209534000004,0.15862453999999998,0.07540174000000001,0.18182419234000002,0.24507413034000003
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/trisolv_ret0,0.5053296229400001,0.21933112811413927,0.39490750034000005,0.24297874,0.21463094000000002,0.35599894434,0.8738351133400001
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/trisolv_ret0,0.24815503654000004,0.05245279031048023,0.27044872634,0.17269674,0.07732694,0.15441370534,0.27484064834000005
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/trisolv_ret0,0.7257379297400001,0.13542025214603462,0.77943913834,0.65920974,0.06837533999999999,0.58400116934,0.8889807983400001
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/trisolv_ret0,0.7666543619400001,0.0038513217749209104,0.76577567134,0.7057203399999998,0.06322174,0.7629854313400001,0.7731880793400001
