command,mean,stddev,median,user,system,min,max
exes/trmm_ret0,0.00041122352000000004,0.00011522683954574126,0.00038185272,0.0002639999999999999,0.00016610000000000003,0.0002951287200000001,0.0005947797200000001
/home/mschnei2/pin//pin -- exes/trmm_ret0,0.18697604792000003,0.00100589673153869,0.18726715772000002,0.1230554,0.0662239,0.18564458572,0.18795993172000003
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/trmm_ret0,0.7937755723200001,0.030244940712739397,0.80755605072,0.7143834,0.08155089999999998,0.74032840872,0.8122826457200001
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/trmm_ret0,0.23642914352000002,0.06522279894856382,0.20850326972000002,0.16030339999999998,0.0773463,0.20338376972000002,0.35302320472
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/trmm_ret0,0.24850977492000004,0.062423386484183316,0.29279974372,0.19345779999999999,0.0578239,0.16988111672000003,0.29447719272
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/trmm_ret0,0.24492589452000005,0.10483846006701518,0.24915870172000001,0.1405654,0.06391749999999999,0.13576345672,0.39069082072
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/trmm_ret0,0.77849321672,0.3672174909205914,0.6742443897200001,0.291307,0.3429983,0.35212905972,1.32306647772
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/trmm_ret0,0.26450709552,0.014061754237364409,0.26934729172,0.1821274,0.0844665,0.23974563972000001,0.27477086972
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/trmm_ret0,0.7105965671200001,0.1297882769199668,0.7165386567200001,0.6410684,0.0720189,0.58303097672,0.8829624897200001
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/trmm_ret0,0.9301135691200001,0.13740773776998114,0.8518284607200001,0.8488977999999999,0.08351549999999999,0.8221451437200001,1.1257063387200001
